,organisation,records lost,year,breach_date,sector,method,data sensitivity,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate,number of articles
93,Sony Online Entertainment,24600000,2011,2011-05-01,gaming,hacked,3.0,sony online entertainment,soe.com,1995.0,computer games,201 - 500,"san diego, california, united states",united states,linkedin.com/company/sony-online-entertainment,122.0,1728.0,0
91,ShareThis,41000000,2019,2019-02-01,web,hacked,1.0,sharethis,sharethis.com,2007.0,internet,51 - 200,"palo alto, california, united states",united states,linkedin.com/company/sharethis,54.0,206.0,0
89,Scribd,500000,2013,2013-04-01,web,hacked,1.0,scribd,scribd.com,2007.0,online media,201 - 500,"san francisco, california, united states",united states,linkedin.com/company/scribd,108.0,254.0,0
88,Royal Enfield,420873,2020,2020-01-01,transport,poor security,3.0,royal enfield,royalenfield.com,1901.0,automotive,1001 - 5000,"gurgaon, haryana, india",india,linkedin.com/company/royal-enfield,1474.0,2302.0,0
75,Newegg,45000000,2018,2018-09-01,retail,hacked,3.0,newegg,newegg.com,2001.0,retail,1001 - 5000,"city of industry, california, united states",united states,linkedin.com/company/newegg-com,703.0,1975.0,0
74,Network Solutions,573000,2009,2009-07-01,web,hacked,3.0,network solutions,networksolutions.com,1979.0,information technology and services,501 - 1000,"herndon, virginia, united states",united states,linkedin.com/company/network-solutions,402.0,2059.0,0
78,OxyData,380000000,2019,2019-11-01,tech,poor security,2.0,oxydata,oxydata.io,2017.0,information technology and services,1 - 10,"vilnius, vilniaus apskritis, lithuania",lithuania,linkedin.com/company/oxydata,1.0,1.0,0
77,OVH,200000,2013,2013-07-01,web,hacked,2.0,ovh,ovh.com,1999.0,internet,1001 - 5000,"roubaix, nord-pas-de-calais, france",france,linkedin.com/company/ovh,921.0,1418.0,0
79,PayAsUGym,300000,2016,2016-12-01,web,hacked,1.0,payasugym,payasugym.com,2009.0,"leisure, travel & tourism",11 - 50,"london, greater london, united kingdom",united kingdom,linkedin.com/company/payasugym,23.0,56.0,0
67,Memorial Healthcare System,102153,2012,2012-04-01,health ,lost device ,2.0,memorial healthcare system,mhs.net,1955.0,hospital & health care,5001 - 10000,"hollywood, florida, united states",united states,linkedin.com/company/memorial-healthcare-system,3091.0,4728.0,0
