Date,Publication,Headline,URL
20140308,New York Times,Auto Regulators Dismissed Defect Tied to 13 Deaths,http://www.nytimes.com/2014/03/09/business/auto-regulators-dismissed-defect-tied-to-13-deaths.html?hpw&rref=automobiles
20160427,Daily Mail,,http://www.dailymail.co.uk/femail/article-3560938/Mumitan-shows-famous-bunny-PuiPui-Instagram.html
20150115,BBC,Two die in Belgian anti-terror raid,http://www.bbc.com/news/world-europe-30840160
20141024,New York Times,"Feeling Ebola Anxiety, From Bellevue to Brooklyn",http://www.nytimes.com/2014/10/25/nyregion/from-bellevue-hospital-center-to-brooklyn-feeling-ebola-anxiety.html
20110823,New York Post,Paint of no return,http://www.nypost.com/p/news/local/paint_of_no_return_D2krSJO0SGxYVJNX1OvQMO
20151023,The Guardian,Drunk man accused of spraying graffiti on prehistoric carvings,http://www.theguardian.com/us-news/2015/oct/23/california-drunk-man-graffiti-prehistoric-carvings-forest
20140806,FOX,FBI joins search for missing Washington girl,http://www.foxnews.com/us/2014/08/06/fbi-joins-search-for-missing-washington-state-girl/?intcmp=latestnews
20150816,Daily Mail,272 comments,http://www.dailymail.co.uk/news/article-3199978/Hackers-access-call-message-send-world-moment-German-computer-experts-just-easy-eavesdrop-smartphone.html#comments
20070126,The Guardian,Weiner faces more woe in new poll,http://www.theguardian.com/world/2013/jul/29/anthony-weiner-majority-new-yorkers-race
20160212,New York Post,Trump surges in new poll,http://nypost.com/2016/02/12/trump-surges-in-new-poll/
20160618,BBC,Talking Business: Chinese brands of tomorrow,http://www.bbc.com/news/business-36558075
20120925,New York Post,Rich Lowry,http://www.nypost.com/p/news/opinion/opedcolumnists/where_nyc_schools_lead_the_world_TTxmzBPBKqCwqWoaYOhHaM
20120602,Washington Post,Windows 8 Release Preview,http://www.washingtonpost.com/business/technology/windows-8-consumer-preview-puts-apps-front-and-center/2012/06/01/gJQAVX5r6U_story.html
20090818,Daily Mail,Lady Gaga sexes up Lady Liberty for magazine cover shoot The controversial singer wore her Poker Face and little else,http://www.dailymail.co.uk/tvshowbiz/article-1308582/Lady-Gaga-sexes-Lady-Liberty-magazine-cover-shoot.html
20131219,New York Times,Jeremy Zimmer of United Talent Agency,http://www.nytimes.com/2013/12/15/business/jeremy-zimmer-of-united-talent-agency-on-accepting-ideas.html?hp
20100112,New York Times,,http://www.nytimes.com/adx/bin/adx_click.html?type=goto&opzn&page=homepage.nytimes.com/index.html&pos=Box1&sn2=5b35dc29/56a295e7&sn1=62f6b8f6/f9f5a95&camp=NYT2010_marketingmodule_News&ad=GN-D-I-NYT-MOD-MOD-M131-ROS-0110&goto=http://www.nytimes.com/2010/01/10/magazine/10florida-t.html%3Fex=1278392400%26en=b1a4ed9a8f812af5%26ei=5087%26WT.mc_id=GN-D-I-NYT-MOD-MOD-M131-ROS-0110-PH%26WT.mc_ev=click
20141113,Daily Mail,Charlize,http://www.dailymail.co.uk/tvshowbiz/article-2833568/Hiker-calls-police-finding-Charlize-Theron-s-son-screaming-picnic-mother-Sean-Penn.html
20111019,CNBC,Special Reports,http://www.cnbc.com/id/16903222
20090329,CNN,Family abducted in Mexico,http://www.cnn.com/video/#/video/crime/2009/03/26/kaye.abducted.near.border.cnn
20150729,USA Today,Hawaii Volcanoes: Lava flows put on good shows,http://www.usatoday.com/story/travel/destinations/2015/07/27/hawaii-volcanoes-national-park-lava/29811733/
20130923,FOX,Political Grapevine,http://www.foxnews.com/on-air/special-report-bret-baier/2013/09/23/grapevine-teacher-fired-bringing-heroin-jury-duty
20160528,The Guardian,"A letter to my late husband, an alcoholic",http://www.theguardian.com/lifeandstyle/2016/may/28/letter-alcoholic-husband-alcohol-acoholics-anonymous
20130204,The Guardian,Feast tweetnight,http://www.guardian.co.uk/stage/theatreblog/2013/feb/05/feast-tweetnight-post-questions
20100203,Daily Mail,ANDREW PIERCE: Soulmates who were such easy targets for innuendo,http://www.dailymail.co.uk/news/article-1308541/COMMENTARY-Soulmates-easy-targets-innuendo.html
20160701,New York Post,,http://nypost.com/2016/07/01/ibt-media-cuts-30-staffers-plans-to-split-up-newsweek/
20100731,Daily Mail,Is the 'biased' BBC now trying to cosy up to the Coalition? Corporation boss lets slip notes for meeting at No 10,http://www.dailymail.co.uk/news/article-1308561/Is-biased-BBC-trying-cosy-Coalition-No-10-meeting.html
20120626,New York Times,Op-Ed Columnist: Captain America?,http://www.nytimes.com/2012/06/26/opinion/is-obama-setting-or-following-the-course.html?hpw
20091017,New York Post,Be the damsel in this dress,http://www.nypost.com/p/news/local/be_the_damsel_in_this_dress_IPClPkYcqI7iM9x7swqIKO
20121030,CNBC,Riskier Than Syria,http://www.cnbc.com/id/49568612/
20130627,The Guardian,Glastonbury,http://www.guardian.co.uk/music/musicblog/2013/jun/28/glastonbury-2013-arctic-monkeys-portishead-and-chic-liveblog
20110822,Washington Post,The Buzz | Date Lab: You voted. He won.,http://www.washingtonpost.com/blogs/the-buzz/post/date-labs-pick-me-project-you-picked-anthony/2011/08/22/gIQAdU5BXJ_blog.html
20130730,The Guardian,Damages paid to Belle de Jour's ex,http://www.guardian.co.uk/media/2013/jul/29/sunday-times-pays-damages-belle-de-jour
20160201,New York Post,"Zika virus is an international emergency, WHO declares         :0",http://nypost.com/2016/02/01/world-heath-organization-declares-zika-virus-an-international-emergency/
20140923,CNN,UPS shooting,http://www.cnn.com/2014/09/23/justice/alabama-ups-shooting-deaths/index.html?hpt=hp_inthenews
20110316,New York Post,Knicks ticket hike prices out some fans,http://www.nypost.com/p/sports/knicks/tix_hike_prices_out_some_fans_6LJyuuEGxfIR0hsjOkmUqK
20160110,USA Today,3 reasons not to pay off your mortgage,http://www.usatoday.com/story/money/personalfinance/2016/01/09/3-reasons-not-pay-off-your-mortgage/78303736/
20140729,BBC,Technology,http://www.bbc.com/news/technology/
20100703,CNN,"Clerk's mistake gets her $250,000",http://www.cnn.com/video/#/video/us/2010/06/30/dnt.lotto.clerk.lucky.mistake.wbns?hpt=T2
20121110,BBC,Science & Environment,http://www.bbc.co.uk/news/2/hi/science/nature/default.stm
20140818,New York Post,Nicole Gelinas,http://nypost.com/2014/08/18/glorifying-graffiti-exhibit-teaches-new-yorks-kids-an-awful-lesson/
20150508,The Guardian,Great Plains  Tornado survivors brace for another round of severe weather,http://www.theguardian.com/world/2015/may/08/oklahoma-tornado-survivors-brace-another-round-of-severe-weather
20150324,The Guardian,The X-Files to return to TV after 13-year absence,http://www.theguardian.com/tv-and-radio/2015/mar/24/the-x-files-return-tv-david-duchovny-gillian-anderson
20120714,BBC,Latin America,http://www.bbc.co.uk/news/world/latin_america/
20141228,BBC,3 Deadliest US sniper is shot dead,http://www.bbc.co.uk/news/world-us-canada-21313208
20140329,New York Times,Vikings in London: Just Like Family,http://www.nytimes.com/2014/03/29/arts/design/vikings-in-london-glamorous-but-just-like-family.html?hpw&rref=arts
20120711,USA Today,3-D printing could remake manufacturing,http://www.usatoday.com/money/industries/manufacturing/story/2012-07-10/digital-manufacturing/56135298/1
20140506,Daily Mail,Missing fishermen are rescued 12 miles off Florida coast after clinging to capsized boat for 17 HOURS,http://www.dailymail.co.uk/news/article-2621666/Missing-fishermen-rescued-12-miles-Florida-coast-clinging-capsized-boat-17-HOURS.html
20130809,Daily Mail,Why going to bed can be BAD for back pain sufferers and they should start exercising instead,http://www.dailymail.co.uk/health/article-2388455/Why-going-bed-BAD-pain-sufferers-start-exercising-instead.html?ico=ushome^headlines
20111222,BBC,Self-healing electronics trialled,http://www.bbc.co.uk/news/technology-16291943
20121224,BBC,1: Piers Morgan faces US gun backlash,http://www.bbc.co.uk/news/entertainment-arts-20838729
20160126,FOX,Store clerk's incredible reaction after discovering homeless man is her father,http://www.foxnews.com/us/2016/01/26/clerk-discovers-homeless-man-is-her-father.html?intcmp=latestnews
20120829,Daily Mail,"The ex-partners of Honey Boo Boo's larger-than-life mom revealed A sex offender, an arsonist and a thief... are just some of Jane Shannon's exes",http://www.dailymail.co.uk/femail/article-2195277/A-sex-offender-arsonist-thief-The-ex-partners-Honey-Boo-Boos-larger-life-mom-revealed.html
20091206,New York Times,Letters: Food Stamps and the Tough Economy,http://www.nytimes.com/2009/12/06/opinion/l06food.html?hpw
20120819,CNBC,Brent Crude Oil Falls on Possibility of Reserves Release,http://www.cnbc.com/id/48697004
20160203,CNBC,Is this Europe’s most expensive classic  car?,http://www.cnbc.com/2016/02/03/is-this-ferrari-europes-most-expensive-classic-car.html
20150815,BBC,The dangers of trusting robots,http://www.bbc.com/future/story/20150812-how-to-tell-a-good-robot-from-the-bad
20120910,CNBC,Most Expensive NFL Tickets 2012,http://www.cnbc.com/id/48899958
20100329,Washington Post,A tour de force of intricate plotting,http://www.washingtonpost.com/wp-dyn/content/article/2010/03/28/AR2010032802212.html?hpid=sec-artsliving
20150309,New York Times,Two Teenagers From a Beach Town Lead Resurrection of U.S. Aerial Skiing,http://www.nytimes.com/2015/03/10/sports/skiing/two-teenagers-from-a-beach-town-lead-resurrection-of-us-aerial-skiing.html
20160701,BBC,Tennis,http://www.bbc.com/sport/tennis
20150930,Washington Post,Georgia executes Kelly Gissendaner after Supreme Court denies stay requests,https://www.washingtonpost.com/news/post-nation/wp/2015/09/29/georgia-considering-whether-the-state-will-execute-kelly-gissendaner-the-only-woman-on-its-death-row-as-pope-francis-asks-for-mercy/
20081031,The Guardian,Weiner's campaign manager quits,http://www.theguardian.com/world/2013/jul/28/anthony-weiner-campaign-manager-quits
20140701,New York Times,"Surfacing: Bees, Brews and Boutiques in Cape May, N.J.NYT Now",http://www.nytimes.com/2014/07/06/travel/bees-brews-and-boutiques-in-cape-may-nj.html
20130615,New York Post,"'You'll swear it's lobster': 'Trash' fish find way onto fine-dining menus as chefs experiment with sea slugs, tuna spines, and more",http://www.nypost.com/p/entertainment/food/menus_experiment_swear_dining_lobster_wHfXOLdnFUWvx4KzrSZPSK
20130226,BBC,Football,http://www.bbc.co.uk/sport/0/football/
20070603,CNBC,Power Lunch,http://www.cnbc.com/id/15837760
20150622,New York Times,Iraqi Families Return to Fragile Stability in Tikrit After Liberation From ISIS,http://www.nytimes.com/2015/06/23/world/middleeast/families-return-to-fragile-stability-in-iraqi-city-liberated-from-isis.html
20130401,New York Times,Ruling Sets Stage for Pension Battle in Bankrupt City,http://www.nytimes.com/2013/04/02/business/ruling-sets-stage-for-pension-battle-in-bankrupt-city.html?hpw
20091019,CNBC,LatAm Markets: All the Latest,http://www.cnbc.com/id/30032887/
20120109,CNBC,LIBOR,http://www.cnbc.com/id/43266422/
20151130,CNBC,"HotAfter-hours buzz: Mattress Firm, El Pollo Loco &  more",http://www.cnbc.com/2015/11/30/after-hours-buzz-mattress-firm-el-pollo-loco-more.html
20110330,The Guardian,Israel to release Palestinian prisoners,http://www.theguardian.com/world/2013/jul/28/israel-approves-release-palestinian-prisoners
20140520,BBC,Art: The diplomat’s secret weapon,http://www.bbc.com/culture/story/20140520-art-the-diplomats-secret-weapon
20130217,BBC,Economy,http://www.bbc.co.uk/news/2/hi/business/economy/default.stm
20100816,New York Times,Judge: Mo. Funeral Protests Ban Unconstitutional,http://www.nytimes.com/aponline/2010/08/16/us/AP-US-Funeral-Protest.html?hp
20130124,New York Post,NYPD hunts for 'killer' after fugitive escapes cops by telling them he had to use the bathroom,http://www.nypost.com/p/news/local/nypd_hunts_for_killer_after_escaping_ukq5CIGqeJL0kUNVaa4mGI
20121114,Washington Post,Michelle Singletary,http://www.washingtonpost.com/michelle-singletary/2011/02/24/ABWCMzI_page.html
20070516,The Guardian,Retirement nigh,http://www.theguardian.com/film/2013/jul/29/johnny-depp-retire-acting-soon
20120811,New York Times,More Analysis and Reaction,http://thecaucus.blogs.nytimes.com/2012/08/11/live-updates-romney-chooses-paul-ryan-as-running-mate/
20160310,FOX,Witney hub OK with sexy dance?,http://www.foxnews.com/entertainment/2016/03/10/dwts-dancer-witney-carson-says-new-husband-okay-with-sexy-dance-moves/
