industry,count_all_articles,percentage_all_articles,count_breach_articles,percentage_breach_articles,standard_error,z_score,p_value
newspapers,665,0.4515546381112114,49.0,0.3864353312302839,0.0005954053984347005,-1.0936969508863004,0.2740879120146531
computer games,644,0.4372950179603311,43.0,0.3391167192429022,0.0005859708091217052,-1.6754810510882876,0.0938398858636651
food production,624,0.423714427340445,63.0,0.4968454258675078,0.0005768394580775261,1.2677877267756896,0.20487376626923726
hospitality,609,0.4135289843755305,62.0,0.4889589905362775,0.0005698932617466037,1.3235812953739763,0.18564214060121031
transportation/trucking/railroad,575,0.3904419803217241,33.0,0.2602523659305993,0.0005538206349348248,-2.3507541283008697,0.018735409210032028
staffing and recruiting,561,0.3809355668878039,19.0,0.1498422712933754,0.0005470630271725676,-4.224253589002489,2.3973398961985026e-05
"health, wellness and fitness",541,0.3673549762679179,28.0,0.2208201892744479,0.000537259578305586,-2.7274485725431408,0.006382620596905975
luxury goods & jewelry,523,0.3551324447100204,17.0,0.1340694006309148,0.0005282785971104217,-4.184592093798164,2.856786149263435e-05
construction,501,0.3401937950281457,86.0,0.6782334384858044,0.0005170869607307074,6.5373847946188235,6.26039220463781e-11
writing and editing,477,0.3238970862842825,28.0,0.2208201892744479,0.0005045909054946634,-2.0427815065114117,0.04107407206288327
non-profit organization management,468,0.3177858205053337,39.0,0.3075709779179811,0.0004998232670526824,-0.2043690892500194,0.8380650836081236
music,447,0.3035262003544534,22.0,0.1735015772870662,0.0004885155190082083,-2.6616272770896856,0.007776393488919897
higher education,436,0.296056875513516,59.0,0.4652996845425867,0.00048248533327778623,3.5077296107492413,0.00045194815027493895
public relations and communications,432,0.2933407573895388,27.0,0.2129337539432176,0.00048027353978807527,-1.6741918258041344,0.09409290547139215
design,419,0.2845133734866129,30.0,0.2365930599369085,0.00047301294065444537,-1.0130867346547303,0.3110187338923649
"leisure, travel & tourism",384,0.2607473399018123,28.0,0.2208201892744479,0.0004528802393112759,-0.8816271314483539,0.3779784781397926
consumer services,354,0.2403764539719832,53.0,0.417981072555205,0.0004348742934285376,4.0840450048907595,4.425845331179623e-05
chemicals,337,0.2288329519450801,53.0,0.417981072555205,0.0004243284792671006,4.4575872196186594,8.288731583760978e-06
computer hardware,327,0.222042656635137,17.0,0.1340694006309148,0.0004179996181505896,-2.1046252719907685,0.035323939983861186
wholesale,321,0.2179684794491712,14.0,0.1104100946372239,0.00041415546014111443,-2.5970534053878973,0.009402730349301391
semiconductors,312,0.2118572136702225,5.0,0.0394321766561514,0.0004083207695575083,-4.22278389612475,2.4130316257808815e-05
information services,298,0.2023508002363022,58.0,0.4574132492113565,0.0003990735937884869,6.3913637220066235,1.644127056721345e-10
computer networking,291,0.1975975935193421,10.0,0.0788643533123028,0.0003943680259970148,-3.0107217720520287,0.002606275455437901
mining & metals,287,0.1948814753953649,16.0,0.1261829652996845,0.00039165354336333447,-1.7540632852630476,0.07941966384314791
facilities services,279,0.1894492391474105,31.0,0.2444794952681387,0.0003861668876873263,1.4250381862177013,0.15414616310710327
management consulting,256,0.1738315599345415,17.0,0.1340694006309148,0.00036993624847468973,-1.0748381502913775,0.2824471967819835
law enforcement,254,0.1724735008725529,162.0,1.2776025236593058,0.00036849085802869786,29.990676802643666,0.0
computer & network security,253,0.1717944713415586,103.0,0.8123028391167193,0.00036776601773337667,17.41619227689267,0.0
defense & space,243,0.1650041760316156,13.0,0.1025236593059937,0.0003604368977995678,-1.7334661658409385,0.08301284613600468
wireless,238,0.1616090283766441,3.0,0.0236593059936908,0.00035671549072315007,-3.8672198424378843,0.00011008318154948071
executive office,235,0.1595719397836612,25.0,0.1971608832807571,0.00035446377031634046,1.0604452879218014,0.2889420681763313
investment management,230,0.1561767921286896,23.0,0.1813880126182965,0.0003506785673383138,0.7189267562304323,0.4721860497032395
government administration,228,0.154818733066701,113.0,0.891167192429022,0.0003491529234187719,21.089568781274366,0.0
package/freight delivery,226,0.1534606740047124,14.0,0.1104100946372239,0.00034762054194625316,-1.2384360005440842,0.21555443883319825
business supplies and equipment,216,0.1466703786947694,9.0,0.0709779179810725,0.0003398543674639326,-2.2272028245077604,0.02593372144831374
human resources,214,0.1453123196327808,34.0,0.2681388012618296,0.0003382796088943271,3.630915916880398,0.0002824171894539873
events services,210,0.1425962015088036,23.0,0.1813880126182965,0.000335107761685112,1.1575921403439202,0.247030518200956
medical devices,199,0.1351268766678663,19.0,0.1498422712933754,0.00032622528544107207,0.4510807494769512,0.6519313515406804
motion pictures and film,195,0.132410758543889,26.0,0.2050473186119874,0.000322934387538179,2.2492668130460687,0.024495525913978078
professional training & coaching,185,0.125620463233946,10.0,0.0788643533123028,0.0003145557407812647,-1.4864173136854737,0.1371687730267126
machinery,184,0.1249414337029517,9.0,0.0709779179810725,0.0003137055045734454,-1.7201966473382408,0.08539670226233653
research,165,0.1120398726140599,59.0,0.4652996845425867,0.0002970867265534557,11.890797546788537,0.0
cosmetics,163,0.1106818135520713,4.0,0.0315457413249211,0.00029528271876496585,-2.6800102816087787,0.0073619898890651125
accounting,158,0.1072866658970998,12.0,0.0946372239747634,0.0002907235095389854,-0.4351021333773539,0.6634882949766419
mechanical or industrial engineering,155,0.1052495773041169,8.0,0.0630914826498422,0.00028795318495591243,-1.4640607173950648,0.1431773592372132
e-learning,151,0.1025334591801397,9.0,0.0709779179810725,0.00028421723830025346,-1.1102613405078274,0.26688642692862885
Other,3182,2.160671967623869,546.0,4.305993690851731,0.0012911940693366554,16.615021507417634,0.0
